;id;;TipoEmpresa;;Empresa;;pais;
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';a69dae1f-b2ee-1257-3895-438dfb8ea964;',';Manufacturing;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';e908e57d-18d3-5ffa-f6f4-438dfb104441;',';Distribution;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';18ae2ab5-0bfd-980d-2519-438dfbda705b;',';Supply;',';Engineering;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';419aa1b7-1392-c018-5c08-438dfb43dd59;',';Distribution;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';67c3c020-4ffe-b315-284a-438dfb4cd6d8;',';Consulting;',';Transportation;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';8f2b0a70-46e7-f25a-7dcc-438dfbc8112e;',';Supply;',';Communications;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';b560e2dc-22bd-6582-bc09-438dfb8ffc59;',';Consulting;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';dc2a7c81-a009-cace-2d18-438dfbabf3d5;',';Consulting;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';e2060a5d-c072-69b9-fea6-438dfb520511;',';Manufacturing;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';33919037-63ff-98f9-4447-438dfb5acbdb;',';Supply;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';60413755-db82-584c-101d-438dfb6380b1;',';Supply;',';Electronics;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';8c9f383e-c1b7-70f8-3208-438dfbc39940;',';Manufacturing;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';b6bcb002-7146-374e-0f62-438dfb1ecc89;',';Consulting;',';Telecommunications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';de8788ae-186e-8976-b01a-438dfb2b8a05;',';Supply;',';Transportation;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';fab50378-1552-a629-0700-438dfb1e3c07;',';Manufacturing;',';Electronics;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';382799fa-9f4d-a2a0-f436-438dfb2ab9e1;',';Distribution;',';Engineering;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';611c2870-5b76-3473-fa0e-438dfb4778a4;',';Consulting;',';Telecommunications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';87f2d1aa-1a8f-51ed-b562-438dfbf8e1f7;',';Manufacturing;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';aed2dd85-41f1-3abb-02f3-438dfbd64a1b;',';Consulting;',';Construction;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';d5b953e2-7668-721f-21cc-438dfbf0b385;',';Consulting;',';Electronics;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';c08208ee-c631-2468-f4ef-438dfbb1f92c;',';Consulting;',';Engineering;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';3624c5a8-5dcf-8f66-f9a1-438dfb26f2da;',';Supply;',';Telecommunications;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';5fd3e853-98f8-6dbf-208c-438dfb9d5c69;',';Manufacturing;',';Engineering;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';8e54f9ad-8ffe-e5ca-b871-438dfb253fb7;',';Manufacturing;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';b97ff471-9ee3-0e12-2dd9-438dfb9b36e0;',';Manufacturing;',';Engineering;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';e153589f-133b-e390-b669-438dfb24cd9f;',';Consulting;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';12ca7ab1-220a-4af9-99ba-438dfbe5571c;',';Distribution;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';3a942d15-be46-e733-9cd3-438dfbb71e24;',';Supply;',';Electronics;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';68b936e6-d166-104a-f3f3-438dfb9a2b2a;',';Distribution;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';92b622ce-8026-54c4-bb92-438dfbea0f65;',';Supply;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';ba692bd5-98cb-195e-3509-438dfb8e7448;',';Consulting;',';Electronics;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';df9d2e47-e4af-a4cd-f57f-438dfb4ad6c4;',';Supply;',';Telecommunications;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';15e6d611-0ff0-efa3-2a08-438dfb32d02d;',';Consulting;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';3b8554f2-e220-4e32-b135-438dfb52f9fe;',';Distribution;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';62e7c87a-db38-c12d-27c1-438dfb76bf23;',';Consulting;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';9483cdff-0afc-bc72-342c-438dfb495915;',';Consulting;',';Telecommunications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';b9b66e60-dbc2-97f8-d5b4-438dfbb7431d;',';Consulting;',';Transportation;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';e1e7c4e5-7e25-6799-eb9a-438dfba51d7f;',';Consulting;',';Transportation;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';19c8dab9-5903-3485-5d78-438dfb4125b3;',';Consulting;',';Communications;',';USA;"');"
